cores,threads,width,height,time
223,1,14933,14933,223 total processes failed to start
224,1,14966,14966,224 total processes failed to start
225,1,15000,15000,225 total processes failed to start
226,1,15033,15033,226 total processes failed to start
227,1,15066,15066,227 total processes failed to start
228,1,15099,15099,228 total processes failed to start
229,1,15132,15132,229 total processes failed to start
230,1,15165,15165,230 total processes failed to start
231,1,15198,15198,231 total processes failed to start
232,1,15231,15231,232 total processes failed to start
233,1,15264,15264,233 total processes failed to start
234,1,15297,15297,234 total processes failed to start
235,1,15329,15329,235 total processes failed to start
236,1,15362,15362,236 total processes failed to start
237,1,15394,15394,237 total processes failed to start
238,1,15427,15427,238 total processes failed to start
239,1,15459,15459,239 total processes failed to start
240,1,15491,15491,240 total processes failed to start
241,1,15524,15524,241 total processes failed to start
242,1,15556,15556,242 total processes failed to start
243,1,15588,15588,243 total processes failed to start
244,1,15620,15620,244 total processes failed to start
245,1,15652,15652,245 total processes failed to start
246,1,15684,15684,246 total processes failed to start
247,1,15716,15716,247 total processes failed to start
248,1,15748,15748,248 total processes failed to start
249,1,15779,15779,249 total processes failed to start
250,1,15811,15811,250 total processes failed to start
251,1,15842,15842,251 total processes failed to start
252,1,15874,15874,252 total processes failed to start
253,1,15905,15905,253 total processes failed to start
254,1,15937,15937,254 total processes failed to start
255,1,15968,15968,255 total processes failed to start
256,1,16000,16000,256 total processes failed to start
